name,status,resource_count,pending_count,failed_count,compliant_count,resource_type,title,evaluation_time,file,line,time,change_count,out_of_sync_count,skipped,failed
node1,unchanged,12,0,0,12,Schedule,monthly,0.000766,,,2015-04-25 17:58 UTC,0,0,false,false
node1,unchanged,12,0,0,12,Schedule,never,0.000672,,,2015-04-25 17:58 UTC,0,0,false,false
node1,unchanged,12,0,0,12,Schedule,daily,0.001998,,,2015-04-25 17:58 UTC,0,0,false,false
node1,unchanged,12,0,0,12,Filebucket,puppet,0.001641,,,2015-04-25 17:58 UTC,0,0,false,false
node1,unchanged,12,0,0,12,Anchor,ntp::begin,0.000958,/etc/puppet/modules/ntp/manifests/init.pp,58,2015-04-25 17:58 UTC,0,0,false,false
node1,unchanged,12,0,0,12,Package,ntp,0.006021,/etc/puppet/modules/ntp/manifests/install.pp,6,2015-04-25 17:58 UTC,0,0,false,false
node1,unchanged,12,0,0,12,File,/etc/ntp.conf,0.021968,/etc/puppet/modules/ntp/manifests/config.pp,20,2015-04-25 17:58 UTC,0,0,false,false
node1,unchanged,12,0,0,12,Service,ntp,1.172025,/etc/puppet/modules/ntp/manifests/service.pp,15,2015-04-25 17:58 UTC,0,0,false,false
node1,unchanged,12,0,0,12,Schedule,hourly,0.000901,,,2015-04-25 17:58 UTC,0,0,false,false
node1,unchanged,12,0,0,12,Schedule,weekly,0.000976,,,2015-04-25 17:58 UTC,0,0,false,false
